loại nhà đất,địa chỉ,type_district_mean_area
bán đất,thủ đức,83.2148
nhà riêng,bình thạnh,154.12453947368422
nhà riêng,quận 10,207.333
nhà riêng,thủ đức,97.23720338983051
căn hộ chung cư,tân phú,54.56184210526315
bán đất,quận 2,172.00956521739133
đất nền dự án,nhà bè,66.16
nhà riêng,gò vấp,121.52519736842105
nhà mặt phố,quận 3,345.0107843137255
nhà riêng,quận 12,74.34581081081082
"nhà biệt thự, liền kề",quận 7,212.9336842105263
căn hộ chung cư,tân bình,57.221500000000006
đất nền dự án,quận 9,80.64125
"shophouse, nhà phố thương mại",quận 9,155.2176923076923
"nhà biệt thự, liền kề",quận 2,251.75384615384615
nhà riêng,quận 7,124.5083950617284
nhà mặt phố,tân phú,161.2901923076923
nhà mặt phố,thủ đức,132.3477142857143
nhà riêng,phú nhuận,174.20741379310346
căn hộ chung cư,bình thạnh,105.75058333333332
đất nền dự án,quận 2,181.39322033898307
nhà mặt phố,quận 1,356.7159154929578
căn hộ chung cư,quận 2,119.69552816901408
căn hộ chung cư,thủ đức,49.55029411764706
nhà riêng,tân phú,112.21573170731708
nhà mặt phố,tân bình,226.1649295774648
bán đất,quận 12,70.725
nhà riêng,quận 9,85.12
nhà mặt phố,quận 9,118.17555555555555
bán đất,quận 9,66.93152542372881
căn hộ chung cư,quận 9,54.46745098039216
nhà mặt phố,quận 12,100.03
bán đất,bình thạnh,144.7875
căn hộ chung cư,quận 10,81.87416666666667
nhà riêng,tân bình,148.84078125
căn hộ chung cư,quận 7,71.80106666666667
nhà riêng,bình chánh,22.076923076923077
nhà riêng,bình tân,95.09074626865672
bán đất,hóc môn,35.286500000000004
bán đất,quận 7,123.87333333333332
bán đất,bình chánh,35.2925
bán đất,củ chi,14.783000000000001
"nhà biệt thự, liền kề",quận 9,140.45376344086023
nhà riêng,quận 1,235.31423076923076
nhà mặt phố,bình tân,123.55624999999999
nhà mặt phố,bình thạnh,251.74372093023254
nhà mặt phố,quận 4,301.26
nhà mặt phố,quận 8,127.61357142857143
nhà riêng,quận 3,199.24800000000002
"shophouse, nhà phố thương mại",bình tân,67.68
bán đất,bình tân,63.722727272727276
nhà mặt phố,quận 7,181.74653846153845
nhà riêng,quận 8,109.72227272727274
căn hộ chung cư,bình chánh,40.50354430379747
căn hộ chung cư,quận 4,84.258
căn hộ chung cư,quận 12,44.8025
căn hộ chung cư,bình tân,50.016400000000004
nhà riêng,nhà bè,87.12387096774194
nhà riêng,hóc môn,50.7425
nhà mặt phố,gò vấp,157.18045454545452
căn hộ chung cư,nhà bè,56.74769230769231
nhà mặt phố,quận 10,316.0577419354839
"nhà biệt thự, liền kề",thủ đức,164.4857142857143
"nhà biệt thự, liền kề",bình thạnh,167.7475
căn hộ chung cư,quận 8,44.070625
nhà riêng,quận 4,159.16750000000002
nhà mặt phố,phú nhuận,294.4383870967742
"nhà biệt thự, liền kề",quận 3,202.16500000000002
căn hộ chung cư,quận 1,232.9386046511628
căn hộ chung cư,quận 6,51.33736842105263
nhà riêng,quận 2,137.5209523809524
"nhà biệt thự, liền kề",nhà bè,108.71214285714287
căn hộ chung cư,quận 3,84.81466666666667
nhà mặt phố,quận 6,165.690625
"nhà biệt thự, liền kề",bình chánh,132.612
"shophouse, nhà phố thương mại",quận 12,137.00857142857143
nhà riêng,quận 6,120.54400000000001
căn hộ chung cư,phú nhuận,77.82111111111111
nhà riêng,quận 11,132.45857142857145
nhà mặt phố,quận 2,256.7711538461539
bán đất,nhà bè,62.835
"shophouse, nhà phố thương mại",quận 2,267.31666666666666
căn hộ chung cư,quận 5,58.588
căn hộ chung cư,gò vấp,52.32818181818182
"shophouse, nhà phố thương mại",quận 7,147.23833333333332
"nhà biệt thự, liền kề",bình tân,109.22999999999999
bán đất,quận 10,221.17000000000002
nhà mặt phố,hóc môn,63.14666666666667
nhà mặt phố,bình chánh,129.53571428571428
đất nền dự án,bình chánh,73.56777777777778
nhà mặt phố,quận 11,304.694
nhà mặt phố,nhà bè,89.2975
"shophouse, nhà phố thương mại",gò vấp,59.11
"nhà biệt thự, liền kề",quận 1,305.56
bán đất,quận 11,92.19
"nhà biệt thự, liền kề",phú nhuận,289.255
căn hộ chung cư,quận 11,54.20333333333334
bán đất,quận 8,83.19
"nhà biệt thự, liền kề",gò vấp,169.69111111111113
đất nền dự án,quận 7,132.75555555555556
bán đất,tân phú,107.08800000000001
đất nền dự án,quận 8,46.760000000000005
"nhà biệt thự, liền kề",quận 12,119.7925
bán đất,gò vấp,71.8825
"nhà biệt thự, liền kề",hóc môn,59.52
đất nền dự án,hóc môn,28.89
bán đất,cần giờ,20.12666666666667
"nhà biệt thự, liền kề",quận 8,183.68
nhà mặt phố,quận 5,363.13222222222225
bán đất,phú nhuận,151.225
"shophouse, nhà phố thương mại",thủ đức,44.83
bán đất,quận 6,63.26
đất nền dự án,thủ đức,105.0
căn hộ chung cư,hóc môn,19.4
nhà riêng,quận 5,177.6
"nhà biệt thự, liền kề",tân phú,121.08500000000001
bán đất,quận 3,236.575
nhà riêng,củ chi,19.515
bán đất,quận 1,500.0
đất nền dự án,quận 12,79.75
đất nền dự án,bình tân,76.67
"nhà biệt thự, liền kề",tân bình,315.06
bán đất,tân bình,200.0
